Copyright 1986-2018 Xilinx, Inc. All Rights Reserved.
-------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2018.3 (lin64) Build 2405991 Thu Dec  6 23:36:41 MST 2018
| Date         : Sun Sep  6 09:56:26 2020
| Host         : DESKTOP-VO2BSI1 running 64-bit Ubuntu 18.04.4 LTS
| Command      : report_utilization -hierarchical -file ./fpga_project/e-class/core_syn_area.txt
| Design       : fpga_top
| Device       : 7a35ticsg324-1L
| Design State : Synthesized
-------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+-----------------------------------------------------------------------------------------+-----------------------------------------+------------+------------+---------+------+-------+--------+--------+--------------+
|                                         Instance                                        |                  Module                 | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | DSP48 Blocks |
+-----------------------------------------------------------------------------------------+-----------------------------------------+------------+------------+---------+------+-------+--------+--------+--------------+
| fpga_top                                                                                |                                   (top) |      20466 |      20377 |      72 |   17 | 20946 |     34 |      0 |            4 |
|   (fpga_top)                                                                            |                                   (top) |          1 |          1 |       0 |    0 |     0 |      0 |      0 |            0 |
|   clk_div                                                                               |                             clk_divider |          1 |          1 |       0 |    0 |     0 |      0 |      0 |            0 |
|     inst                                                                                |         clk_divider_clk_divider_clk_wiz |          1 |          1 |       0 |    0 |     0 |      0 |      0 |            0 |
|   core                                                                                  |                                   mkSoc |      20305 |      20216 |      72 |   17 | 20709 |     34 |      0 |            4 |
|     (core)                                                                              |                                   mkSoc |         36 |         36 |       0 |    0 |   142 |      0 |      0 |            0 |
|     boot_dut_dmemMSB                                                                    |                             BRAM2BELoad |          0 |          0 |       0 |    0 |     0 |      2 |      0 |            0 |
|     boot_s_xactor_f_rd_addr                                                             |                                   FIFO2 |         15 |         15 |       0 |    0 |    24 |      0 |      0 |            0 |
|     boot_s_xactor_f_rd_data                                                             |                   FIFO2__parameterized0 |         38 |         38 |       0 |    0 |    66 |      0 |      0 |            0 |
|     boot_s_xactor_f_wr_addr                                                             |                                 FIFO2_0 |         17 |         17 |       0 |    0 |    24 |      0 |      0 |            0 |
|     boot_s_xactor_f_wr_data                                                             |                   FIFO2__parameterized1 |         44 |         44 |       0 |    0 |    74 |      0 |      0 |            0 |
|     boot_s_xactor_f_wr_resp                                                             |                   FIFO2__parameterized2 |          2 |          2 |       0 |    0 |     2 |      0 |      0 |            0 |
|     clint_s_xactor_f_rd_addr                                                            |                                 FIFO2_1 |        203 |        203 |       0 |    0 |    38 |      0 |      0 |            0 |
|     clint_s_xactor_f_rd_data                                                            |                 FIFO2__parameterized0_2 |         41 |         41 |       0 |    0 |    68 |      0 |      0 |            0 |
|     clint_s_xactor_f_wr_addr                                                            |                                 FIFO2_3 |         88 |         88 |       0 |    0 |    38 |      0 |      0 |            0 |
|     clint_s_xactor_f_wr_data                                                            |                 FIFO2__parameterized1_4 |         47 |         47 |       0 |    0 |    66 |      0 |      0 |            0 |
|     clint_s_xactor_f_wr_resp                                                            |                 FIFO2__parameterized2_5 |          5 |          5 |       0 |    0 |     4 |      0 |      0 |            0 |
|     debug_memory_s_xactor_f_rd_addr                                                     |                                 FIFO2_6 |         30 |         30 |       0 |    0 |    14 |      0 |      0 |            0 |
|     debug_memory_s_xactor_f_rd_data                                                     |                 FIFO2__parameterized0_7 |         37 |         37 |       0 |    0 |    58 |      0 |      0 |            0 |
|     debug_memory_s_xactor_f_wr_addr                                                     |                                 FIFO2_8 |          2 |          2 |       0 |    0 |     2 |      0 |      0 |            0 |
|     debug_memory_s_xactor_f_wr_data                                                     |                 FIFO2__parameterized1_9 |          2 |          2 |       0 |    0 |     2 |      0 |      0 |            0 |
